batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
1,64,512,128,False,bf16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,0.0801667760418848,0.10341603774577379,0.008865044618102825,ok,31168.0,24.31,17.01,12.16,25.88,12.71,20728.74,7084.97,6876.32,2919.78,3099.68,tcgen05_mma,False
2,64,512,128,False,fp16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,0.08858355208376963,0.07818301673978567,0.004534993430905562,ok,49024.0,31.49,21.77,15.98,29.64,16.09,35593.39,14169.95,13668.0,5827.89,6199.35,tcgen05_mma,False
4,64,512,128,False,bf16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,0.10541710416753926,0.2899469109252095,0.007977455649127328,ok,83424.0,37.66,25.76,19.72,32.77,19.02,63613.45,28339.89,27220.0,11639.78,12398.7,tcgen05_mma,False
8,64,512,128,False,fp16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,0.13908420833507854,0.207789009436965,0.010213185538404546,ok,145216.0,45.92,31.3,25.16,35.23,22.35,117505.06,56679.78,54324.0,23263.57,24797.41,tcgen05_mma,False
