batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
1,16,8192,128,False,fp8,fma_compute,FMA pipe (FP32 update + softmax scaling + small-d/fp8 reductions) saturates,0.4945887723788521,0.4328220384195447,0.01348606817552,ok,657120.0,57.04,8.97,1.26,20.84,6.03,543962.26,226719.14,386638.07,185996.54,28899.39,fma_compute,True
2,16,4096,128,False,fp8,fma_compute,FMA pipe (FP32 update + softmax scaling + small-d/fp8 reductions) saturates,0.30024438618942606,0.2917059464380145,0.04870716147064832,ok,348608.0,55.15,8.8,2.43,20.27,6.01,279620.51,113359.57,194331.47,93006.27,18223.17,fma_compute,True
4,32,4096,128,False,fp8,fma_compute,FMA pipe (FP32 update + softmax scaling + small-d/fp8 reductions) saturates,0.8832775447577041,0.6980119505897164,0.012719393513391136,ok,1144288.0,65.24,10.5,4.02,20.73,7.3,1093414.78,453438.27,777048.88,371977.08,116902.05,fma_compute,True
8,16,2048,128,False,fp8,fma_compute,FMA pipe (FP32 update + softmax scaling + small-d/fp8 reductions) saturates,0.30024438618942606,0.37216395139694214,0.01041146560028844,ok,322784.0,60.74,9.98,6.35,19.84,8.0,285734.32,113359.57,196276.12,93006.27,25769.32,fma_compute,True
