batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
1,64,512,128,False,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.1142900065166071,0.08114892989397049,0.006989174611609693,ok,30848.0,24.25,16.96,12.29,26.19,12.79,20480.28,7084.97,6876.32,2919.78,3099.68,tcgen05_mma,True
2,64,512,128,False,fp16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.12018164260756849,0.09094702545553446,0.004458294576915357,ok,47744.0,31.44,21.69,16.42,29.65,16.52,35591.8,14169.95,13668.0,5827.89,6199.35,tcgen05_mma,True
4,64,512,128,False,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.13446328521513698,0.14681403990834951,0.008140621495081777,ok,84064.0,37.12,25.42,19.65,32.92,18.89,63313.91,28339.89,27220.01,11639.78,12398.7,tcgen05_mma,True
8,64,512,128,False,fp16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.1630265704302739,0.13597693759948015,0.007357561524125133,ok,144352.0,46.58,31.74,25.48,35.44,22.51,116805.97,56679.78,54324.01,23263.57,24797.41,tcgen05_mma,True
