batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
4,64,512,128,True,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.12018164260756849,0.11079397518187761,0.010797327537126908,ok,74240.0,30.49,23.12,23.12,26.9,20.79,59270.43,21254.92,18890.38,9382.05,14169.95,tcgen05_mma,True
8,32,512,128,True,fp16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.12018164260756849,0.10175607167184353,0.013228542629230376,ok,75168.0,30.72,22.71,22.71,27.01,20.45,59021.11,21254.92,18889.95,9382.05,14169.95,tcgen05_mma,True
8,64,1024,128,True,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.22015314086054785,0.25875598657876253,0.013632778908786227,ok,332352.0,48.68,23.4,23.4,35.86,22.96,296390.92,141699.46,118036.75,62547.03,70849.73,tcgen05_mma,True
4,32,1024,128,True,fp16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.13446328521513698,0.11514103971421719,0.010896689649783542,ok,96480.0,41.76,19.43,18.01,35.03,19.34,75846.72,35424.86,29507.9,15636.76,17712.43,tcgen05_mma,True
