batch,heads,seqlen,head_dim,causal,precision,status,measured_runtime_ms,measured_runtime_std_ms,measured_bottleneck,error
1,16,1024,64,True,bf16,ok,0.08345600217580795,0.009745873228207165,unknown,
1,16,1024,64,True,fp16,ok,0.07209599763154984,0.006591906140365556,unknown,
1,16,1024,64,True,fp8,ok,0.07241600006818771,0.007404381333085519,unknown,
1,16,1024,64,False,bf16,ok,0.07209599763154984,0.005769743375237669,unknown,
1,16,1024,64,False,fp16,ok,0.07264000177383423,0.0066757324361167904,unknown,
1,16,1024,64,False,fp8,ok,0.0753600001335144,0.004874914050882749,unknown,
1,16,1024,128,True,bf16,ok,0.0679360032081604,0.009032363794895502,unknown,
1,16,1024,128,True,fp16,ok,0.06825599819421768,0.003972925584933967,unknown,
1,16,1024,128,True,fp8,ok,0.0724480003118515,0.005705421255629262,unknown,
1,16,1024,128,False,bf16,ok,0.07292799651622772,0.004638788337404105,unknown,
1,16,1024,128,False,fp16,ok,0.07503999769687653,0.009175891601634876,unknown,
1,16,1024,128,False,fp8,ok,0.07072000205516815,0.008149175180627523,unknown,
1,16,2048,64,True,bf16,ok,0.07740800082683563,0.0038215417338031193,unknown,
1,16,2048,64,True,fp16,ok,0.07519999891519547,0.001616427614196101,unknown,
1,16,2048,64,True,fp8,ok,0.08076799660921097,0.0029209174268302637,unknown,
1,16,2048,64,False,bf16,ok,0.08246400207281113,0.0056129583299215635,unknown,
1,16,2048,64,False,fp16,ok,0.08166400343179703,0.0014643283991142334,unknown,
1,16,2048,64,False,fp8,ok,0.08057600259780884,0.0023284694984032164,unknown,
1,16,2048,128,True,bf16,ok,0.0793600007891655,0.003585471331174298,unknown,
1,16,2048,128,True,fp16,ok,0.07817599922418594,0.0010540584789473567,unknown,
1,16,2048,128,True,fp8,ok,0.08111999928951263,0.0031353474227078524,unknown,
1,16,2048,128,False,bf16,ok,0.08684799820184708,0.0009815192039155122,unknown,
1,16,2048,128,False,fp16,ok,0.08790399879217148,0.001248860002575271,unknown,
1,16,2048,128,False,fp8,ok,0.0820159986615181,0.0015836609006976909,unknown,
1,16,4096,64,True,bf16,ok,0.10089600086212158,0.0012225089408201008,unknown,
1,16,4096,64,True,fp16,ok,0.10105600208044052,0.0008042769722485103,unknown,
1,16,4096,64,True,fp8,ok,0.1032319962978363,0.0010921333674666714,unknown,
1,16,4096,64,False,bf16,ok,0.1653120070695877,0.0024526070801726427,unknown,
1,16,4096,64,False,fp16,ok,0.16512000560760498,0.004446985143564599,unknown,
1,16,4096,64,False,fp8,ok,0.14528000354766846,0.0032137784678443805,unknown,
1,16,4096,128,True,bf16,ok,0.10806400328874588,0.003736594341609565,unknown,
1,16,4096,128,True,fp16,ok,0.10630399733781815,0.0010873875947235848,unknown,
1,16,4096,128,True,fp8,ok,0.10467199981212616,0.0024839919586109754,unknown,
1,16,4096,128,False,bf16,ok,0.18140800297260284,0.002896768267014483,unknown,
1,16,4096,128,False,fp16,ok,0.1833599954843521,0.0055332429694926796,unknown,
1,16,4096,128,False,fp8,ok,0.14988799393177032,0.002329394072478204,unknown,
1,16,8192,64,True,bf16,ok,0.22620800137519836,0.0021532681388778912,unknown,
1,16,8192,64,True,fp16,ok,0.22703999280929565,0.002058496591366477,unknown,
1,16,8192,64,True,fp8,ok,0.22620800137519836,0.001701121898424895,unknown,
1,16,8192,64,False,bf16,ok,0.49084800481796265,0.006292698482045748,unknown,
1,16,8192,64,False,fp16,ok,0.4922240078449249,0.005885823812343142,unknown,
1,16,8192,64,False,fp8,ok,0.39980798959732056,0.0023219490465872057,unknown,
1,16,8192,128,True,bf16,ok,0.2438720017671585,0.005044208985030409,unknown,
1,16,8192,128,True,fp16,ok,0.24614399671554565,0.002614150462003638,unknown,
1,16,8192,128,True,fp8,ok,0.22703999280929565,0.0034662813640910155,unknown,
1,16,8192,128,False,bf16,ok,0.5448960065841675,0.0034264724772810713,unknown,
1,16,8192,128,False,fp16,ok,0.5517119765281677,0.002018917043804558,unknown,
1,16,8192,128,False,fp8,ok,0.4115520119667053,0.0051539507800762545,unknown,
1,16,16384,64,True,bf16,ok,0.6820799708366394,0.003483697365191519,unknown,
1,16,16384,64,True,fp16,ok,0.6826559901237488,0.002589366814228223,unknown,
1,16,16384,64,True,fp8,ok,0.6800640225410461,0.0019288606626439197,unknown,
1,16,16384,64,False,bf16,ok,1.5538560152053833,0.0029888418673688286,unknown,
1,16,16384,64,False,fp16,ok,1.5548160076141357,0.0034449046724757204,unknown,
1,16,16384,64,False,fp8,ok,1.2355200052261353,0.004265868339836326,unknown,
1,16,16384,128,True,bf16,ok,0.7741119861602783,0.003831810034132027,unknown,
1,16,16384,128,True,fp16,ok,0.7930880188941956,0.001681649749700551,unknown,
1,16,16384,128,True,fp8,ok,0.6599360108375549,0.002975171234169825,unknown,
1,16,16384,128,False,bf16,ok,1.8295680284500122,0.006748105121412878,unknown,
1,16,16384,128,False,fp16,ok,1.8573119640350342,0.04738838170830422,unknown,
1,16,16384,128,False,fp8,ok,1.4111360311508179,0.0023779006909127776,unknown,
1,32,1024,64,True,bf16,ok,0.06646399945020676,0.00304240728137047,unknown,
1,32,1024,64,True,fp16,ok,0.06697600334882736,0.002821593764100303,unknown,
1,32,1024,64,True,fp8,ok,0.06896000355482101,0.0009330621848475614,unknown,
1,32,1024,64,False,bf16,ok,0.06934399902820587,0.0016761085189579607,unknown,
1,32,1024,64,False,fp16,ok,0.0756480023264885,0.0051142075676015595,unknown,
1,32,1024,64,False,fp8,ok,0.07667200267314911,0.0017144057404210402,unknown,
1,32,1024,128,True,bf16,ok,0.07334399968385696,0.003538815301008993,unknown,
1,32,1024,128,True,fp16,ok,0.06726399809122086,0.0034536149737333906,unknown,
1,32,1024,128,True,fp8,ok,0.06800000369548798,0.0018747184698925596,unknown,
1,32,1024,128,False,bf16,ok,0.07238399982452393,0.006630721769928547,unknown,
1,32,1024,128,False,fp16,ok,0.07264000177383423,0.003965108914056682,unknown,
