batch,heads,seqlen,head_dim,causal,precision,status,measured_runtime_ms,measured_runtime_std_ms,measured_bottleneck,error
1,16,1024,64,True,bf16,ok,0.06844799965620041,0.006933920421911328,unknown,
1,16,1024,64,True,fp16,ok,0.06851200014352798,0.006385263124152499,unknown,
1,16,1024,64,True,fp8,ok,0.07187200337648392,0.007173289404782915,unknown,
1,16,1024,64,False,bf16,ok,0.06729599833488464,0.01032200655832631,unknown,
1,16,1024,64,False,fp16,ok,0.07196799665689468,0.006697631661481335,unknown,
1,16,1024,64,False,fp8,ok,0.07168000191450119,0.00599290857930498,unknown,
1,16,1024,128,True,bf16,ok,0.07225599884986877,0.005113714906879355,unknown,
1,16,1024,128,True,fp16,ok,0.06838399916887283,0.00722676691659352,unknown,
1,16,1024,128,True,fp8,ok,0.070592001080513,0.006662773676490297,unknown,
1,16,1024,128,False,bf16,ok,0.07360000163316727,0.0051117834134013,unknown,
1,16,1024,128,False,fp16,ok,0.0703359991312027,0.005253207597263553,unknown,
1,16,1024,128,False,fp8,ok,0.07036799937486649,0.008424993885727466,unknown,
1,16,2048,64,True,bf16,ok,0.07609599828720093,0.001643006361382787,unknown,
1,16,2048,64,True,fp16,ok,0.07340800017118454,0.004219537280932734,unknown,
1,16,2048,64,True,fp8,ok,0.07727999985218048,0.0015782835290262117,unknown,
1,16,2048,64,False,bf16,ok,0.07980799674987793,0.0020420921871882537,unknown,
1,16,2048,64,False,fp16,ok,0.0801599994301796,0.005228491623082442,unknown,
1,16,2048,64,False,fp8,ok,0.07868800312280655,0.0009948871094842416,unknown,
1,16,2048,128,True,bf16,ok,0.0769599974155426,0.001831114600974844,unknown,
1,16,2048,128,True,fp16,ok,0.07692799717187881,0.0011891338814206285,unknown,
1,16,2048,128,True,fp8,ok,0.07737600058317184,0.008739298728093106,unknown,
1,16,2048,128,False,bf16,ok,0.08668799698352814,0.0021816396309630418,unknown,
1,16,2048,128,False,fp16,ok,0.08659200370311737,0.003933657881552038,unknown,
