batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
4,32,4096,64,False,fp8,sfu_exp,SFU exp / row-max reduction saturates before the PV MMA can run,1.0286692677410234,0.6720999954268336,0.019838642062495897,ok,1081728.0,70.55,7.81,1.94,15.62,6.17,1088557.24,226719.14,675267.93,400300.97,72620.97,fp32_update,False
8,16,4096,64,True,bf16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,0.6793362857142857,0.45270705595612526,0.011032441806824332,ok,694592.0,61.64,13.49,5.44,27.03,12.77,668445.74,240889.08,367796.11,212659.89,46052.32,fp32_update,False
8,64,1024,128,True,bf16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,1.2785225714285713,0.24895300157368183,0.015379255834726206,ok,334944.0,48.53,23.19,23.19,35.82,22.76,296712.21,141699.46,118033.72,62547.03,70849.73,tcgen05_mma,False
4,32,2048,128,True,fp16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,0.6793362857142857,0.20098499953746796,0.013739671000494941,ok,265600.0,57.73,21.09,14.06,44.28,18.59,215985.6,127529.51,101472.86,56292.32,49594.81,tcgen05_mma,False
