batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
1,16,8192,128,False,fp8,sfu_exp,SFU exp / row-max reduction saturates before the PV MMA can run,0.4648246665214042,0.44034095481038094,0.015078997320377619,ok,657856.0,56.86,8.94,1.27,20.84,6.01,543864.77,226719.14,386631.15,185996.54,28900.82,fp32_update,False
2,16,4096,128,False,fp8,sfu_exp,SFU exp / row-max reduction saturates before the PV MMA can run,0.2682123332607021,0.2533390652388334,0.012786097328053277,ok,347104.0,55.28,8.82,2.42,20.29,6.01,279367.55,113359.57,194334.5,93006.27,18222.7,fp32_update,False
4,32,4096,128,False,fp8,sfu_exp,SFU exp / row-max reduction saturates before the PV MMA can run,0.8580493330428085,0.695248949341476,0.02038614823388401,ok,1145440.0,65.08,10.47,4.01,20.74,7.28,1093381.65,453438.27,777060.55,371977.08,116902.05,fp32_update,False
8,16,2048,128,False,fp8,sfu_exp,SFU exp / row-max reduction saturates before the PV MMA can run,0.2682123332607021,0.4212369676679373,0.00864360076427015,ok,324672.0,60.52,9.95,6.31,19.84,7.97,285721.07,113359.57,196273.09,93006.27,25769.03,fp32_update,False
