batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
4,64,512,128,True,bf16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,0.09224128008376963,0.10270194616168737,0.007746917871465451,ok,75008.0,30.67,23.01,23.01,26.94,20.62,59173.81,21254.92,18889.06,9382.05,14169.95,tcgen05_mma,False
8,32,512,128,True,fp16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,0.09224128008376963,0.1019469927996397,0.011304185259671869,ok,75136.0,30.78,22.63,22.63,26.82,20.63,59438.77,21254.92,18889.08,9382.05,14169.95,tcgen05_mma,False
8,64,1024,128,True,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.2155153482673823,0.2508650068193674,0.008423336615880796,ok,334016.0,48.54,23.22,23.22,35.91,22.82,295978.74,141699.46,118037.62,62547.03,70849.73,tcgen05_mma,True
4,32,1024,128,True,fp16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.10757883706684557,0.1076629851013422,0.008154926236870395,ok,95904.0,42.08,19.57,18.04,35.17,19.5,75553.14,35424.86,29510.91,15636.76,17712.43,tcgen05_mma,True
