batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
1,32,16384,128,False,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,3.762000507537531,3.537893993780017,0.027409820681674496,ok,5640800.0,62.84,26.53,1.43,30.82,20.43,5884806.41,3627506.16,3112200.76,1487860.32,488863.14,tcgen05_mma,True
2,32,8192,128,False,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,1.9339502537687656,1.822678023017943,0.017646323963042346,ok,2973824.0,62.64,26.97,2.68,30.53,19.74,2970017.53,1813753.08,1561920.11,743938.16,262144.0,tcgen05_mma,True
4,16,8192,128,False,fp16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,1.9339502537687656,1.86785904224962,0.023772082846595582,ok,2950496.0,61.65,26.53,2.68,30.58,19.9,2965125.59,1813753.08,1561920.11,743938.16,262144.0,tcgen05_mma,True
8,16,4096,128,False,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,1.0199251268843827,0.9808780159801245,0.008148313254901392,ok,1615712.0,60.99,27.27,4.87,30.13,18.86,1505155.09,906876.54,786779.78,371977.08,148784.43,tcgen05_mma,True
