batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
1,32,16384,128,False,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,3.7405127765562343,3.5247720079496503,0.01784006860768987,ok,5652288.0,62.37,26.33,1.42,30.86,20.42,5877386.33,3627506.16,3112200.75,1487860.32,488863.14,tcgen05_mma,True
2,32,8192,128,False,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,1.9060563882781172,1.8272879533469677,0.01675747456909434,ok,2961600.0,62.37,26.85,2.68,30.55,19.86,2968445.95,1813753.08,1561920.11,743938.16,262144.0,tcgen05_mma,True
4,16,8192,128,False,fp16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,1.9060563882781172,1.886512036435306,0.017618673046177997,ok,2960704.0,63.33,27.26,2.66,30.64,19.83,2960146.49,1813753.08,1561920.11,743938.16,262144.0,tcgen05_mma,True
8,16,4096,128,False,bf16,tcgen05_mma,Tensor Core MMA (Q@K^T and P@V) saturates the compute pipe,0.9888281941390585,0.9806279558688402,0.005458186369025184,ok,1607104.0,60.58,27.09,4.89,30.03,18.96,1509884.66,906876.54,786779.78,371977.08,148784.43,tcgen05_mma,True
