model,mape,max_ape,pct_within_30,bottleneck_accuracy,ncu_bottleneck_accuracy,ncu_profiled_count,n_configs
baseline_fa4_roofline,43.12323317406717,281.39327129644573,52.72727272727273,0.0,,,330
improved,10.008106134891227,59.913861813349186,96.36363636363636,0.0,74.28571428571429,35,330
