batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
8,64,1024,128,False,bf16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,2.476895142857143,0.31331798527389765,0.004439333941791997,ok,482784.0,54.4,29.8,16.12,32.29,19.15,412252.8,226719.14,205424.53,93006.27,63764.76,tcgen05_mma,False
8,64,2048,128,False,fp16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,4.873640285714286,1.0532760061323643,0.020202122759420817,ok,1652160.0,58.93,28.37,9.8,29.9,19.75,1566313.41,906876.54,798303.24,371977.08,184209.3,tcgen05_mma,False
4,64,2048,64,False,bf16,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,1.2785225714285713,0.46098593156784773,0.012373375245487619,ok,725632.0,54.64,11.97,5.16,24.37,5.76,697754.36,226719.14,344280.64,200150.49,74392.22,fp32_update,False
8,32,1024,128,False,fp8,tma_load,TMA load of Q/K/V tiles stalls the MMA pipe until data arrives,0.6793362857142857,0.1615290530025959,0.011398088839034001,ok,173312.0,55.84,16.16,11.39,18.48,11.27,153384.33,56679.78,100129.53,46511.14,26568.65,fp32_update,False
