batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
1,16,8192,64,False,bf16,sfu_exp,SFU exp / row-max reduction saturates before the PV MMA can run,0.4063010185214042,0.5042899865657091,0.01119750860951531,ok,801504.0,48.41,10.44,0.98,24.77,5.54,686464.86,226719.14,341504.42,200150.49,32325.19,fp32_update,False
2,16,4096,64,False,fp16,sfu_exp,SFU exp / row-max reduction saturates before the PV MMA can run,0.23895050926070213,0.2836521016433835,0.010305854621938596,ok,420512.0,47.43,10.28,1.85,24.42,5.46,348148.54,113359.57,171243.66,100075.24,18155.24,fp32_update,False
4,32,4096,64,True,bf16,sfu_exp,SFU exp / row-max reduction saturates before the PV MMA can run,0.4648246665214042,0.4701189463958144,0.015686964990004396,ok,694880.0,61.64,13.49,5.43,27.02,12.76,668589.99,240889.08,367797.4,212659.89,77934.7,fp32_update,False
8,16,2048,64,True,fp16,sfu_exp,SFU exp / row-max reduction saturates before the PV MMA can run,0.16990616663035105,0.18610397819429636,0.00714544655964259,ok,222272.0,51.4,11.44,7.89,23.7,11.13,201811.34,63764.76,98926.27,56292.32,15941.19,fp32_update,False
