batch,heads,seqlen,head_dim,causal,precision,predicted_saturated_component,predicted_blocking_path,predicted_runtime_ms,measured_runtime_ms,measured_runtime_std_ms,status,ncu_duration_ns,ncu_compute_pct,ncu_memory_pct,ncu_dram_pct,ncu_l1tex_pct,ncu_l2_pct,ncu_sm_active_cycles,ncu_pipe_tensor_cycles,ncu_pipe_fma_cycles,ncu_pipe_xu_insts,ncu_tma_cycles,ncu_dominant_component,component_match
1,16,8192,64,False,bf16,fma_compute,FMA pipe (FP32 update + softmax scaling + small-d/fp8 reductions) saturates,0.4412261260684196,0.5045899888500571,0.01904546692038474,ok,802560.0,48.59,10.48,0.98,24.77,5.71,686341.78,226719.14,341504.42,200150.49,32325.19,fma_compute,True
2,16,4096,64,False,fp16,fma_compute,FMA pipe (FP32 update + softmax scaling + small-d/fp8 reductions) saturates,0.2735630630342098,0.2859679516404867,0.00978860691448596,ok,418720.0,47.32,10.26,1.88,24.42,5.18,348193.61,113359.57,171243.66,100075.24,18155.24,fma_compute,True
4,32,4096,64,True,bf16,fma_compute,FMA pipe (FP32 update + softmax scaling + small-d/fp8 reductions) saturates,0.4412261260684196,0.4472400760278106,0.011290407026945034,ok,698144.0,61.72,13.51,5.42,27.02,12.72,668751.21,240889.08,367794.81,212659.89,77934.7,fma_compute,True
8,16,2048,64,True,fp16,fma_compute,FMA pipe (FP32 update + softmax scaling + small-d/fp8 reductions) saturates,0.1897315315171049,0.17926504369825125,0.012714026266541976,ok,223552.0,51.43,11.45,7.9,23.68,11.08,201963.93,63764.76,98927.14,56292.32,15941.19,fma_compute,True
